key,en,ja,ko,zh-TW,zh-CN,es,pt,ru,fr,vi
achievements,ACHIEVEMENTS,実績,업적,成就,成就,LOGROS,CONQUISTAS,ДОСТИЖЕНИЯ,SUCCÈS,THÀNH TÍCH
achvAllSprites,Full Arsenal,フルアーセナル,풀 아스날,全員集合,全员集合,Arsenal Completo,Arsenal Completo,Полный Арсенал,Arsenal Complet,Đủ Bộ Sưu Tập
achvAllSpritesDesc,Win with all 10 sprite types,全10種のスプライトでクリア,10종 스프라이트 모두 사용하여 클리어,使用全部10種精靈通關,使用全部10种精灵通关,Gana con los 10 tipos de sprites,Vença com todos os 10 tipos de sprites,Выиграть со всеми 10 типами спрайтов,Gagner avec les 10 types de sprites,Thắng với đủ 10 loại sprite
achvFirstHero,Hero Summoner,ヒーロー召喚者,영웅 소환사,英雄召喚師,英雄召唤师,Invocador de Héroes,Invocador de Heróis,Призыватель Героев,Invocateur de Héros,Triệu Hồi Anh Hùng
achvFirstHeroDesc,Summon a hero for the first time,初めてヒーローを召喚,처음으로 영웅 소환,首次召喚英雄,首次召唤英雄,Invoca un héroe por primera vez,Invoque um herói pela primeira vez,Призвать героя впервые,Invoquer un héros pour la première fois,Triệu hồi anh hùng lần đầu
achvFirstWin,First Victory,初勝利,첫 승리,首次勝利,首次胜利,Primera Victoria,Primeira Vitória,Первая Победа,Première Victoire,Chiến Thắng Đầu
achvFirstWinDesc,Win the game for the first time,初めてゲームをクリア,처음으로 게임 클리어,首次通關遊戲,首次通关游戏,Gana el juego por primera vez,Vença o jogo pela primeira vez,Выиграть игру впервые,Gagner le jeu pour la première fois,Thắng game lần đầu
achvNoHit,Untouchable,無傷,무적,無傷通關,无伤通关,Intocable,Intocável,Неуязвимый,Intouchable,Bất Bại
achvNoHitDesc,Win without getting hit,ノーダメージでクリア,피해 없이 클리어,不受傷害通關,不受伤害通关,Gana sin recibir daño,Vença sem receber dano,Выиграть без получения урона,Gagner sans prendre de dégâts,Thắng không bị trúng đòn
achvNoSprites,Solo Run,ソロラン,솔로 런,單人挑戰,单人挑战,Carrera en Solitario,Corrida Solo,Соло Забег,Course en Solo,Chạy Đơn
achvNoSpritesDesc,Win without summoning any sprites,スプライトなしでクリア,스프라이트 없이 클리어,不召喚精靈通關,不召唤精灵通关,Gana sin invocar sprites,Vença sem invocar sprites,Выиграть без призыва спрайтов,Gagner sans invoquer de sprites,Thắng không triệu hồi sprite
achvOnlySpriteDesc,Win using only,のみでクリア,만으로 클리어,僅使用通關,仅使用通关,Gana usando solo,Vença usando apenas,Выиграть только с,Gagner en utilisant seulement,Thắng chỉ dùng
achvSpeedrun,Speedrunner,スピードランナー,스피드러너,速通達人,速通达人,Velocista,Velocista,Спидраннер,Speedrunner,Tốc Độ
achvSpeedrunDesc,Win in under 10 minutes,10分以内にクリア,10분 이내 클리어,10分鐘內通關,10分钟内通关,Gana en menos de 10 minutos,Vença em menos de 10 minutos,Выиграть менее чем за 10 минут,Gagner en moins de 10 minutes,Thắng dưới 10 phút
achvUnlocked,Achievements Unlocked,獲得した実績,획득한 업적,獲得的成就,获得的成就,Logros Desbloqueados,Conquistas Desbloqueadas,Разблокированные Достижения,Succès Débloqués,Thành Tích Đạt Được
allHeroes,ALL HEROES,全員,모두,全員,全员,TODOS,TODOS,ВСЕ ГЕРОИ,TOUS,TẤT CẢ
archer,Archer,アーチャー,궁수,弓箭手,弓箭手,Arquero,Arqueiro,Лучник,Archer,Cung thủ
back,BACK,戻る,뒤로,返回,返回,VOLVER,VOLTAR,НАЗАД,RETOUR,QUAY LẠI
berserker,Berserker,バーサーカー,버서커,狂戰士,狂战士,Berserker,Berserker,Берсерк,Berserker,Cuồng chiến
bomber,Bomber,ボマー,폭격수,轟炸手,轰炸手,Bomba,Bomba,Подрывник,Bomba,Ném bom
boss1,Demon Lord,魔王,마왕,魔王,魔王,Señor Demonio,Senhor Demônio,Повелитель Демонов,Seigneur Démon,Chúa Quỷ
boss2,Shadow King,影の王,그림자 왕,暗影之王,暗影之王,Rey Sombra,Rei Sombra,Король Теней,Roi des Ombres,Vua Bóng Tối
boss3,Void Emperor,虚空帝,허공제,虛空帝,虚空帝,Emperador del Vacío,Imperador do Vazio,Император Пустоты,Empereur du Vide,Hoàng Đế Hư Vô
